job_id,title,company,location,skills,experience,description
1,Data Scientist,TCS,Delhi,"Python, ML, Pandas, Scikit-learn, Statistics",2-5,Create predictive models and analyze large datasets.
2,Data Analyst,Amazon,Mumbai,"SQL, Excel, Power BI, Python",2-5,Analyze datasets and build dashboards for business reporting.
3,Java Developer,L&T Mindtree,Hyderabad,"Java, Spring Boot, REST API, MySQL",2-5,Develop enterprise backend services using Spring Boot.
4,DevOps Engineer,Tech Mahindra,Kochi,"Linux, Docker, Kubernetes, AWS, CI/CD, Jenkins",0-2,Implement CI/CD pipelines and manage containers.
5,Data Analyst,Wipro,Pune,"SQL, Excel, Power BI, Python",2-5,Analyze datasets and build dashboards for business reporting.
6,Data Scientist,Tech Mahindra,Delhi,"Python, ML, Pandas, Scikit-learn, Statistics",5+,Create predictive models and analyze large datasets.
7,Frontend Developer,L&T Mindtree,Pune,"HTML, CSS, JavaScript, React",0-2,Build UI components in React and optimize performance.
8,Machine Learning Engineer,Fractal,Hyderabad,"Python, ML, NLP, TensorFlow, Pandas",0-2,Develop ML models and deploy training pipelines.
9,Full Stack Developer,Fractal,Hyderabad,"Python, React, REST API, SQL",5+,Build full stack apps with backend APIs and frontend UI.
10,Machine Learning Engineer,Fractal,Coimbatore,"Python, ML, NLP, TensorFlow, Pandas",5+,Develop ML models and deploy training pipelines.
11,DevOps Engineer,Zoho,Chennai,"Linux, Docker, Kubernetes, AWS, CI/CD, Jenkins",0-2,Implement CI/CD pipelines and manage containers.
12,Java Developer,Wipro,Delhi,"Java, Spring Boot, REST API, MySQL",5+,Develop enterprise backend services using Spring Boot.
13,Python Developer,Microsoft,Delhi,"Python, Django, REST API, PostgreSQL",0-2,Build backend APIs using Django and REST framework.
14,DevOps Engineer,Wipro,Chennai,"Linux, Docker, Kubernetes, AWS, CI/CD, Jenkins",5+,Implement CI/CD pipelines and manage containers.
15,Data Scientist,Zoho,Mumbai,"Python, ML, Pandas, Scikit-learn, Statistics",0-2,Create predictive models and analyze large datasets.
16,DevOps Engineer,Zoho,Delhi,"Linux, Docker, Kubernetes, AWS, CI/CD, Jenkins",2-5,Implement CI/CD pipelines and manage containers.
17,Java Developer,Amazon,Delhi,"Java, Spring Boot, REST API, MySQL",0-2,Develop enterprise backend services using Spring Boot.
18,Data Analyst,Infosys,Bengaluru,"SQL, Excel, Power BI, Python",5+,Analyze datasets and build dashboards for business reporting.
19,Frontend Developer,Google,Coimbatore,"HTML, CSS, JavaScript, React",5+,Build UI components in React and optimize performance.
20,Full Stack Developer,Fractal,Delhi,"Python, React, REST API, SQL",0-2,Build full stack apps with backend APIs and frontend UI.
21,Full Stack Developer,Microsoft,Hyderabad,"Python, React, REST API, SQL",0-2,Build full stack apps with backend APIs and frontend UI.
